Utterance,Type,Dialogue Act
"Tai Tomi, ami apnar sathe kotha bolti cheyechhilam karon ami onno din Facebook-e chhilam ebong apni je party-te chhilen tar kichu chhobi dekhe amake kichhuta udvigno kore tulchhilen karon ami dekhechi apni madyopan korchen ebong ami bhabechi apni amake bolte paren kina apnar jibone alcohol kivabe khap khaye she somporke kichhuta.",T,irq
Ami prodhanto jokhon ami party-te thaki ba jokhon keu amake biaar dey tokhon ami keboli pan kori ami majhe majhe chumuk khabi.,P,id
Eta apnar jonno ekta samajik jinis dhonno ekta prodhan ogrodhikar porikkhon na. Haan. Apni koto pan korchen bole mone koren?,T,irq
"Ami onuman kori ami proti onno shoptahante prottekera moto bolbo, hoyto proti dui shoptah. Upolokkhe, sambhoboto ekta basketball khela cholche ba ekta football khela ami amar chhelader sathe pan korar jonno ekta beer khao. Kintu ta chara, ami sotti eita ekta somossha hisabe onek dekhte na.",P,id
Tai shoptahante ja cholche tar upor nirvor kore apni hote pare oshudhokop beshi pan korchen.,T,crq
"Haan, ami onuman kori apni eita bolte paren.",P,cd
"Achha, apni kivabe shoptahik chhuti-r modhye parthokyo bivorno korben jokhon apni pan koren banam jokhon apni pan na koren?",T,irq
"Jokhon ami madyopan kori na, tokhon ami sadharanot beshi pochondo kori, aro beshi utpadonshil jinis korar moto jodit thaki jemon ami chesta kori ebong aro schooler kaj kori jokhon ami amar kache somoy thake ba jokhon ami chai ami byayam korte pari ba pochondo kore kichu korte pari, jokhon jokhon ami madyopan kori, tokhon ami amar somoy nidbondhon kori shudhu alga korte ebong moja korte ebong bondhuder sathe aram korte.",P,id
"Tai apni mone koren je apni shoptahante arro kichu somponno korechhen. Jokhon pan korben na, tokhon sambhoboto apni mone koren na je apni aram korte paren.",T,crq
"Haan, mane, ami, jokhon ami madyopan kori, ami jani je ami onno kaj na korar jonno somoy nichchi. Tai ami chesta kori ebong eti toiri kori jate ami nijekete eto kaj na korar jonno dite na pari. Tai ami chesta kori ebong age kaj kori, kintu ami jani je madyopan utpadonshilatar pothe baddho hoye daray. Tai ami joto sambhob komai kori.",P,cd
Apni daihshikil hote ebong apnar jinis somponno korte chesta koren. Haan. Madyopan eta kathin kore tulbe jene. Haan. Thik ache. Ebong mone hochhe je apni pan korar somoy shobkichu somponno korechen ba kichu jinis pichone jachhe?,T,crq
"Haan, ami onuman kori jokhon ami pan kori tokhon kichu jinis ektu pichone jai. Kintu thik ei karone je ami jokhon madyopan kori, ami seti kori, amake korte hobe she dike ami sotti e bhabe monoyogi noy. Ami seti mohorte focus kori ebong seti samoye amar je samoy ache ta upobhog kori. Ebong eti sotti kichu je ami shudhu eti ekta mot ekta anondo prodankariro moto kichu ebong jinis ekta somoy sobbar sathe upobhog kora.",P,"cd,ack"
Madyopan somporke apni ki jinis upobhog koren?,T,irq
"Thik jevabe, eti apanake mukto kore ebong apanake kore tole eti apanake aro atmobishwasI, aro udyami byaktir mato kore tole ja apani nije-r mato anubhav koren na apani nije-r ekti bhinn samskaraner mato anubhav koren. Ebong eta kichu je apani eta, eta shudhu ekti degree kshamatayan.",P,id
"Thik achhe. Tai apani kichu upaye mukti ba dhornyer aro atmobishwasi bodh koren? Hyan? Thik achhe, madyapan somporkhe eto bhalo jinish nei?",T,irq
"Um, jokhon ami khub beshi pan kori, ami nijer upor niyontro hariye feli ebong jokhon ami khub beshi pan kori ba jokhon ami amar bondhura drinks mishrit kore ebong eti amar sharire khatikarok prabhav fele tokhon ami pochondo kori. Je shombhobhoto ami madyapan theke chhilam je prodhan oprontota ekti.",P,id
Ki dhonno jinish ghôtbe?,T,irq
"Ami prodhanto jokhon ami khocha dii ba amar pete je anubhuti hoy, jodi ami khub beshi pan kori tokhon khub oprotirodhyo hoy.",P,id
"Jemon apani apanar sharire lakhechhen, apani ekbar sheyechhe beshi pan korechhen bole apani mone koren koto?",T,irq
"Bah, ami shombhobhoto bolbo.",P,id
"Ekti bondhur kache, amar ekti bondhur jônmôdin-er party chhilo sompriti. Ebong tini alaga kortechhilen je shomosto chheler ekshathe chhilo ebong tader koyek bondhu chhilo ebong eti kebol ekta boro party-te porinoto hoyechhilo ebong ami kebol eti hariyechhi. Ami khub beshi pan korechhilam ami bote boi pari shombhobhoto ekta boro bôttol ba dui ebong pothe moddhe kichu beer. Ami ekta bindu jekhane ami gonona hariye gechhilam.",P,id
"Eti apanar jonno discount-er jonno sadharaner baire chhilo, apani pan koren emon ekta sadharan poriman ki?",T,irq
"Ekti nirdisht rate ami nijekete tin ba char-tir beshi beer pan korte deini. Karon ami jani je ami achi, ami emon jaygaye pochhe gechi jekhane ami amar sima jani. Kintu ami koto dur jete pari ta dekhar jonno ami amar sima niye flirt kori. Ebong ami mone kori je ei dharoner agun niye khela khub bipojjonok, kintu ami dekhte chai ami koto dur jete pari. Shudhu tai ami jani etodur jete hobe na.",P,"id,on"
